Name,Description,Website
Climate Collective,"Climate Collective is a leading coalition of innovators leveraging digital technology to unlock real-world, verifiable climate action at scale.",https://climatecollective.org/
Climate Coordination Network,CCN is on a mission to accelerate blockchain-enabled climate solutions on a global scale.,https://gov.gitcoin.co/t/climate-coordination-network-ccn-the-future-of-the-climate-solutions-program/16777/22
ClimateCoin,ClimateCoin is a transparent way to finance sustainable projects and see them prosper.,https://climatecoin.com/
CLIMETA,CLIMETA harnesses the power of Web3 and emerging technology to become a world leader in global conservation funding.,https://www.climeta.io/
Codos Foundation,Codos envisions a world where everyone commutes sustainably.,https://codos.network/
CofiBlocks,CofiBlocks uses Starknet's blockchain technology to directly connect coffee lovers with coffee producers and distribute benefits among all members.,https://www.cofiblocks.com/
Cohere.network,Cohere is accelerating the expansion of a decentralized network of resilient co-living communities.,https://www.cohere.network/
Commons Stack,Commons Stack provides blueprints and tools for impact communities to realize economic sustainability and shared resource governance.,https://www.commonsstack.org/
Coorest,Coorest allows you to compensate for your CO2 emissions instantly and effortlessly through its CO2 compensation.,https://coorest.io/
Coral Tribe,Coral Tribe is a community of impact investors powering Web3 climate finance.,https://www.coraltribe.io/
Crypto Altruism,"Crypto Altruism is a leading content platform elevating the social impact potential and use cases of web3, blockchain, and cryptocurrency.",https://www.cryptoaltruism.org/
Crypto Commons Association,"The Crypto Commons Association (CCA) is a non-profit organization, hosted on OpenCollective",https://crypto-commons.org/
dClimate,dClimate is a decentralized climate data infrastructure network transforming the way climate tech applications are brought to life to power a resilient future.,https://www.dclimate.net/
Decent DAO,Decent DAO enables novel economies built on regenerative decentralized systems to thrive beyond the status quo.,https://www.decent-dao.org/
Deentra,Deentra is utilising the solar as a service model to provide green energy across Italy.,https://en.deentra.io/
Demia,"Demia is simplifying data security, sharing, and measurement with innovative tech to fuel positive change for a sustainable future.",https://www.demia.net/
DeTrash,DeTrash is transforming how we think about trash and recycling.,https://site.detrash.io/
Digiconomist,Digiconomist exposes the unintended consequences of digital trends.,https://digiconomist.net/
DIVA Donate,"Powered by DIVA Protocol, DIVA Donate is an event-driven donation model enabled by blockchain.",https://www.divadonate.xyz/
DIVA Protocol,DIVA Protocol is a universal and highly flexible smart contract-based operating system for creating and settling derivative products peer-to-peer.,https://www.divaprotocol.io/
dMeter,dMeter creates systems that allow individuals worldwide to receive compensation for engaging in regenerative actions.,https://dmeter4dmrv.org/
Dovu,"Dovu is the answer to the world’s demand for a robust, transparent supply of green credits.",https://dovu.earth/en/
Drivyx ESG,"Drivyx ESG is a revolutionary double-sided marketplace championing biodiversity, sustainability, circularity, and regenerative design.",https://www.drivyx.com/
EarthFund,EarthFund is the new way to launch and run decentralized communities for a better tomorrow.,https://www.earthfund.io/
Earthist Network,Earthist Network is a regenerative network with hemp at its center.,https://earthist.network/
EasyRetroPGF,Easy RetroPGF is a user-friendly tool designed to make it simple and straightforward to run RPGF rounds.,https://easyretropgf.xyz/
Ecofrontiers,Ecofrontiers is a specialist agency focusing on the theoretical frameworks and technical knowledge necessary for accounting and representing green crypto-assets.,https://ecofrontiers.xyz/
Ecological Benefits Framework,EBF can provide a foundational new architecture to radically transform global carbon and ecological benefits markets.,https://ebfcommons.org/
Ecosapiens,"Ecosapiens is an eco-conscious collective to offset your annual carbon footprint, collect beautiful art, and show the world that you’re helping to save the planet.",https://ecosapiens.xyz/
ECOTA,ECOTA integrates ESG knowledge and blockchain innovation to equip businesses with regenerative finance solutions.,https://www.ecota.io/
ecoToken,"ecoToken provides verifiable cross-chain ecocredit retirement on Solana with carbon, water, and biodiversity credits.",https://app.ecotoken.earth/
Efforce,Efforce provides a set of instruments to help you make a positive impact on climate change.,https://efforce.io/
Ekonavi,Ekonavi is a collaborative platform catalyzing ecological regeneration in Brazil and beyond.,https://ekonavi.com/
Encointer,"Encointer enables communities everywhere to generate their own, autonomous currency, and use it to stimulate the local economy.",https://encointer.org/
Endangered Tokens Foundation,"The Endangered Tokens Foundation is a decentralised investment community for biodiversity preservation, giving value and governance to stakeholders through crypto assets.",https://www.endangeredtokens.org/
Energy Web,Energy Web is a global non-profit on a mission to accelerate the energy transition by developing and deploying open-source Web3 technologies that help companies unlock business value from clean and distributed energy resources.,https://www.energyweb.org/
Enrex,Enrex develops cutting-edge applications engineered to detect and highlight greenwashing.,https://www.enrex.io/
Epoch,Epoch enables emissions monitoring and payments for agriculture- and forestry-linked supply chains.,https://www.epoch.blue/
erable°,erable° is the solution for investing in tomorrow's economy with innovative assets.,https://erable.com/
EthicHub,EthicHub is a ReFi protocol helping unbanked farmers access capital at low interest rates.,https://www.ethichub.com/
Evadore,Evadore aims to leave the world in the best way for future generations and to find solutions to environmental problems around the world.,https://evadore.io/
Evercity,Evercity is an end-to-end platform streamlining green debt and carbon credit origination.,https://evercity.io/
EverGreenCoin,EverGreenCoin is an open source cryptocurrency launched in 2015.,https://evergreencoin.org/
Farm VC,Farm is a platform for investing in farmland regeneration.,https://www.farm.vc/
Farmsent,Farmsent is the world's first farmer blockchain and B2B marketplace for direct trade,https://www.farmsent.io/
Filecoin Green,"Filecoin Green aims to measure the environmental impacts of Filecoin and verifiably drive them below zero, building infrastructure along the way that allows anyone to make transparent and substantive environmental claims.",https://green.filecoin.io/
Flori Ventures,Flori Ventures is a seed-stage fund in top entrepreneurs that are using technology to tackle two of the most impactful challenges in emerging markets: Climate change and access to the financial system.,https://www.floriventures.com/
Flowcarbon,Flowcarbon uses technology and financing structures to increase transparency in the carbon markets,https://www.flowcarbon.com/
FORK FOREST,FORK FOREST is a ReFi project that works with Web3 tools to serve the values of environmental conservation and social responsibility.,https://forest.forkdaogov.xyz/
ForkinWisdom,ForkinWisdom empowers grassroots projects that make a difference in their community.,https://www.publicoptimism.org/
Foundation for Regeneration,The Foundation for Regeneration is dedicated to creating meaningful demonstrations that showcase the promise of Regeneration.,https://regeneration.us/#
Frigg,"Frigg connects investors to sustainable projects worldwide, streamlining financing for accessible, impactful investments.",https://www.frigg.eco/
Funding the Commons,Funding the Commons was incubated by Protocol Labs (Network Goods) as an independent project and a bridge between builders and researchers to establish new mechanisms for public goods funding leveraging open source technologies.,https://fundingthecommons.io/
Future Quest,"Future Quest is a community-based accelerator for high impact climate projects leveraging web3, gamification and science.",https://future.quest/
GainForest,GainForest is a Swiss non-profit organization focused on transparent environmental protection.,https://gainforest.earth/
Geltonas,Geltonas addresses critical agricultural challenges by harnessing cutting-edge technology.,https://www.geltonas.tech/
Gitcoin,Gitcoin envisions a world shaped by community-led positive change.,https://www.gitcoin.co/
Give Credit,"Give Credit's solutions enables non-profits make a greater impact and maximize their donations, at No-Cost.",https://www.givecredit.co/
Giveth,Giveth is a zero-fee crypto donation platform that rewards donors to verified public goods projects.,https://giveth.io/
Glo Dollar,Glo Dollar is a fiat-backed stablecoin that funds public goods.,https://www.glodollar.org/
Glow Foundation,"Glow is on a mission to power the planet with 100% renewable energy. Every individual, no matter how small, can participate meaningfully in the mission.",https://glow.org/
Good Empire,"Good Empire is building a platform where the good you do for people and planet is visible, measurable, and rewarded.",https://www.goodempire.org/
GoodDollar,GoodDollar unlocks human potential with digital universal basic income.,https://www.gooddollar.org/
Grassroots Economics,Grassroots Economics enables prospering economies built by thriving communities.,https://www.grassrootseconomics.org/
Green Digital Guardians,Green Digital Guardians leverages NFTs to preserve and regenerate critical ecosystems.,https://dgguardians.com/
GreenPill Mexico,GreenPill Mexico is a node in the GreenPill Network.,https://linktr.ee/greenpillmexico
GreenPill Network,The GreenPill Network is building a network-society that exports regenerative digital infrastructure to the world.,https://greenpill.network/
GreenPill Ottawa,GreenPill Ottawa is a node in the GreenPill Network.,https://linktr.ee/greenpillottawa
GreenTrade,Greentrade is building the infrastructure for forward financing of nature- and tech based carbon credits.,https://greentrade.tech/
GreenWorld,GreenWorld uses direct resources to empower individuals and support organizations that are on the front lines of the fight for the conservation of our planet.,https://www.gwdtoken.com/
Hedera Guardian,The Hedera Guardian enables auditable and credible carbon markets with industry leading trust and transparency.,https://hedera.com/guardian
Helios,Helios is next-gen financial infrastructure powering high-impact solar projects in emerging markets.,https://www.helios.eco/
Hyphen,Hyphen is a climate tech company dedicated to institutionalizing and de-risking natural capital in order to accelerate climate action.,https://www.hyphen.earth/
impactMarket,impactMarket leverages Web3 to provide accessible financial solutions that empower financially unserved and underserved people around the world.,https://www.impactmarket.com/
IPE Assets,IPE Assets is transforming the way people invest in renewable energy.,https://ipeassets.io/
Ivy Protocol,Ivy is building the infrastructure to connect pre-certified environmental projects with funding and resources.,https://www.ivyprotocol.com/
Jasmine Energy,"Jasmine is a decentralised market for climate assets that makes it easy to claim, buy, and sell renewable energy certificates.",https://www.jasmine.energy/
Kakubi,Kakubi is a real-world asset on blockchain to reduce pollution.,https://kakubi.com/
Karma GAP,Karma GAP brings visibility and accountability to public goods funding.,https://gap.karmahq.xyz/
KFMedia℠,"KFMedia℠ inspires, excites, educates, and motivates people to support the regeneration of knowledge.",https://kingfishersmedia.io/
KlimaDAO,"KlimaDAO creates transparent, neutral, public resources to accelerate climate finance on a global scale.",https://www.klimadao.finance/
Kokonut Network,Kokonut Network is building the infrastructure to connect Web3 with agriculture.,https://kokonut.network/
Kolektivo Network,Kolektivo Network enables changemakers with cutting-edge technology to achieve regenerative developments in local communities.,https://www.kolektivo.network/
Kumo,Kumo provides software and frameworks to facilitate institutional debt financing for the carbon removal industry.,https://www.kumo.earth/
Kyoto,"Kyoto is a DePIN, EVM-compatible, and energy-efficient blockchain that brings real-world assets on-chain in the form of carbon credits.",https://kyotoprotocol.io/
Landia,Landia is a grassroots network leveraging ancestral and emerging tech for environmental protection and intersectional regeneration.,https://landia.world/
LandX,LandX bridges the gap between agricultural commodities and investors by tokenizing real-world crops.,https://landx.fi/
Let's GROW DAO,Let's GROW DAO is on a mission to unite and GROW the regen movement through the public goods ecosystem.,https://letsgrow.network/
Litter Token,Litter Token pays people to clean up the planet.,https://littertoken.xyz/
M3tering,M3tering is a blockchain-based protocol pushing for the expansion and adoption of solar electrification in Sub-Saharan Africa.,https://www.whynotswitch.com/
Mercy Corps Ventures,Mercy Corps Ventures invests in and catalyzes venture-led solutions to increase the resilience of underserved individuals and communities.,https://www.mercycorps.org/what-we-do/ventures
MesoReefDAO,MesoReefDAO scales coral reef conservation in the Mesoamerican Barrier Reef System.,https://linktr.ee/mesoreefdao
Moss,Moss is a one-stop shop that uses technology to keep the Amazon standing.,https://moss.earth/en
Mycelia,Mycelia is weaving the human bioma with Web3 and indigenous peoples,https://linktr.ee/mycelia
Neutral,Neutral is a next-generation exchange for environmental assets,https://www.neutralx.com/
NFTs for Social Good,NFTs for Social Good is a community dedicated to highlighting the postive social impact of NFTs.,https://linktr.ee/nftsforsocialgood
Ocean Sole,Oceansole recycles discarded flip flops into inspiring art to promote conservation & aid community impact.,https://oceansole.com/
OceanBlocks,OceanBlocks is dedicated to finding ways to evolve ESG strategies into ESV strategies by locating value in the transition toward a greener economy.,https://www.oceanblocks.org/
Octant,Octant is a platform for experiments in decentralized governance that reward participation.,https://octant.build/
Ogallala Life,Ogallala Life empowers High Plains Aquifer communities with Web3 tools and ancient wisdom to sustainably manage water resources.,https://www.ogallala.life/
Open Earth Foundation,Open Earth Foundation is building digital architecture to scale climate action.,https://www.openearth.org/projects/openclimate
Open Forest Protocol,"Open Forest Protocol is a scalable open platform that allows forest projects of any size to measure, report, and verify (MRV) their forestation data.",https://www.openforestprotocol.org/
Optimism,"Optimism is a collective of companies, communities, and citizens working together.",https://optimism.io/
Oxygenchain,Oxygenchain is a decentralised protocol for recycling and waste treatment services.,https://www.oxygenchain.earth/
Pale Blue Dot,"Pale Blue Dot issues the $Earth token, with a supply of one.",https://www.pale-blue.earth/
penomo,penomo brings decentralised finance and liquidity to accelerate the renewable energy revolution.,https://penomo.io/
plant-based,"plant-based is a (re)generative art series that evolves, grows and stores carbon.",https://www.plantbased.art/
Plastiks,Plastiks is tackling plastic pollution with blockchain technology.,https://www.plastiks.io/
Polygon,Polygon enables an infinitely scalable web of sovereign blockchains that feels like a single chain.,https://polygon.technology/
PoolTogether,PoolTogether is a prize savings protocol that enables people to win by saving.,https://pooltogether.com/
PotLock,PotLock is building the public goods funding and impact tracking stack.,https://www.potlock.org/
Proto Mapper,Proto assists users in constructing maps as content.,http://protomap.xyz/
Public Nouns,Public Nouns is an experimental new way to support public goods.,https://publicnouns.wtf/
R3WILD,"R3WILD is rewilding and restoring the planet, one block of land at a time.",https://www.r3wild.co/
Raiz Vertical Farms,Building distributed vertical farms catering to urban areas in an energy efficient manner.,https://www.raiz.farm/
ReCommon,"ReCommon builds systems and tools for regenerative, place-based projects to support the emergence of a distributed network of resilient bioregional communities.",https://www.recommon.land/
ReFi Barcelona,ReFi Barcelona is a node of the ReFi DAO network society.,https://lu.ma/u/usr-GjNL5wnqKicWX9K
ReFi Bogota,ReFi Bogota is a local node of the ReFi DAO network society.,https://linktr.ee/Refibogota
ReFi Colombia,ReFi Colombia is supporting the movement towards a more sustainable and equitable future in Colombia.,https://linktr.ee/reficolombia
ReFi DAO,ReFi DAO is a network society to regenerate the earth.,https://www.refidao.com/
ReFi Generation,ReFi Generation explores the global impact of regenerative finance through discussions with experts.,https://refigeneration.com/
ReFi Hub,ReFi Hub lets users lend to and earn yield from sustainable businesses.,https://www.refihub.io/
ReFi Japan,ReFi Japan serves as a hub for empowering and fostering regenerative activities in Japan.,https://www.refijapan.com/
ReFi Kenya,"ReFi Kenya is a unique platform that brings together thought leaders, practitioners, and visionaries in the field of regenerative finance.",https://refikenya.org/
ReFi Medellin,"A movement towards a more sustainable and equitable future in Medellín, Colombia.",https://www.refimedellin.org/en
ReFi Mexico,ReFi Mexico is a node of the ReFi DAO network society.,https://refimexico.org/
ReFi Paramaribo,ReFi Paramaribo is a node of the ReFi DAO network society.,https://linktr.ee/innovatorsbuzz
ReFi Phangan,ReFi Phangan is a local node of the ReFi DAO network society.,https://linktr.ee/refiphangan
ReFi Podcast,"The ReFi Podcast explores regenerative finance in Web3, offering innovative solutions for environmental challenges and monetary redesign.",https://podcasters.spotify.com/pod/show/refipodcast
ReFi Protocol,ReFi Protocol is the first tokenisation framework for any carbon project.,https://refiprotocol.io/
ReFi Tanzania,ReFiTanzania serves as a hub for empowering and fostering regenerative activities in Tanzania.,https://linktr.ee/ReFiTanzania
ReFiChat,ReFichat is a chatbot that provides verified information about ReFi through a curated database and language model.,https://myseelia.life/
Regen Network,Regen Network is a platform to originate and invest in high-integrity carbon and biodiversity credits from ecological regeneration projects,https://www.regen.network/
Regen Supply,"Regen Supply is a podcast that showcases inspiring initiatives in climate innovation, and the people behind them.",https://open.spotify.com/show/6QlLWwLaMGBL0FYuiFh3r7?si=ab357b0f32fc4ac0&nd=1&dlsi=489ec3b3fc8c4df6
RegenBuild,RegenBuild is aligning and building the commons to solve coordination problems and transition the built environment to a regenerative paradigm.,https://www.regenbuild.earth/
Regenerate Barichara,"Regenerate Barichara supports the wholesale restoration of a 500,000-hectare territory in the northern Andes of Colombia.",https://www.regeneratebarichara.org/
Regens Unite,Regens Unite is building bridges between regen communities,https://www.regensunite.earth/
regrò,Regro is a collective of regenerative growers on the blockchain.,https://projectregro.com/
RetroPGF,RetroPGF is a community initiative promoting Retroactive Public Goods Funding.,https://retropgfhub.com/
Roburna,Roburna is a next-gen carbon neutral blockchain powered by green energy.,https://roburna.com/
Savimbo,The Savimbo project is an interchange for fair-trade carbon offsets that provides buyers direct access to the people who are doing the work to preserve rainforests.,https://www.savimbo.com/
Senken,Senken provides transparent access to the broadest selection of digital assets for climate action.,https://senken.io/
Shamba Network,"Shamba Network is a platform using monitoring, reporting, and verification to power tokenization of ecological capital.",https://shamba.network/
Silvi,Silvi is helping a billion people plant a trillion trees.,https://www.silvi.earth/
SimplexDNA,SimplexDNA is a DNA-based monitoring program to save life on earth.,https://www.simplexdna.com/
SMR (Sungura Mjanja Refi),"SMR is a DLT-based registry accelerating ecological restoration with AI-powered DMRV backed by satellite data, creating high-value carbon offsets.",https://sunguramjanjarefi.com/
SoilDAO,SoilDAO accelerates topsoil regeneration while enabling a decentralised global community of regenerative land stewards.,https://www.soildao.io/
Solarpunkverse,"Developing a cultural hub to inspire climate action and mindset shifts through educational content, celebrating Solarpunk leaders, crowdfunded NFTs, and building a digital Solarpunk Culture Library.",https://docs.google.com/forms/d/e/1FAIpQLSf3kCa2XAWqebOg621MOoVWoutSrA3knEfeqF3mHY1UpUfoAA/viewform
Solid World,Solid World is a financing platform that makes prepaid carbon markets truly liquid and transparent.,https://www.solid.world/
Sovereign Nature Initiative,Sovereign Nature Initiative empowers companies to generate value for biodiversity and report their impact in a creative and credible way.,https://sovereignnature.com/
STEPN GO,STEPN GO is a Web3 lifestyle app that rewards users for movement.,https://www.stepn.com/
Sunflower EcoTech,Sunflower EcoTech empowers regenerators for a thriving planet.,https://sunflowereco.tech/
Sunrise Stake,"Sunrise Stake allows you to offset carbon emissions, contributing to Solana's decentralization, security, and climate neutrality without spending your crypto.",https://www.sunrisestake.com/
Sustainable Bitcoin Protocol,Sustainable Bitcoin Protocol supports clean energy bitcoin miners and helps investors reach their ESG goals.,https://www.sustainablebtc.org/
Thallo,Thallo democratizes access to carbon credits issued by trusted accreditation bodies,https://www.thallo.io/
Thank ARB,Thank ARB is a pluralistic grants framework that decentralises decision-making and grows the ARB ecosystem.,https://thankarb.com/
The Aquapurge Project,"The Aquapurge Project develops innovative solutions through data collection, cleanup events, and an in-app store, aimed at a cleaner future.",https://www.aquapurge.org/
The Carbon Games,The Carbon Games is driving sustainability via gamification.,https://www.thecarbongames.com/
The JCR Club,"The JCR Club is a 1,000-member NFT community supporting regenerative agriculture.",https://www.thejcrclub.com/
The Regen Atlas,"The Regen Atlas is a platform for discovering, tokenising, and trading of green crypto-assets.",https://www.regenatlas.xyz/
The Solar Foundation,The Solar Foundation aims to fund and accelerate solar for underserved communities in emerging economies.,https://www.solarfoundation.xyz/
The SolarWise,The SolarWise empowers sustainable investments with solar NFTs.,https://www.solarwise.vet/
Topl,"Topl Thunder is a Bitcoin Layer 2 designed to enable a more inclusive, connected, and sustainable economy.",https://topl.co/
Toucan Protocol,Toucan provides digital infrastructure for tokenized carbon credits.,https://toucan.earth/
Traditional Dream Factory,Traditional Dream Factory is building a climate resilient neighborhood of the future in Portugal.,https://traditionaldreamfactory.com/
Treegens,Treegens is BUIDLing a world where anyone can plant trees and get rewarded.,https://thetreegens.com/
Trusted Seed,Trusted Seed is a value-driven community advancing regenerative economies.,https://trustedseed.org/
UCO Network,"UCO Network leverages blockchain to streamline supply chains and create economic incentives for sustainable practices, with a focus on used cooking oil.",https://www.uco.network/
Unchained Elephants,Unchained Elephants is a multi-chain NFT project making a positive impact on elephant welfare.,https://unchainedelephants.com/
Unergy,Unergy brings clean energy to anyone in the world through sustainable and digital investments.,https://unergy.io/
Urbanika,"Urbanika facilitates the emergence of peer-governed, circular-economy-based smart cities.",https://urbanika.notion.site/Urbanika-304277770b0e418ea279548983c3c0db
ValleyDAO,"ValleyDAO is an open, global community offering funding and translational support for synthetic biology research.",https://www.valleydao.bio/
Vivero,"Vivero is a community-directed giving trust for bioregional stewardship, enabling regenerative communities to connect, collaborate, and grow.",https://vivero.app/
Vlinder,Vlinder enables companies and individuals to achieve their Net-Zero commitments by building high-quality carbon removal supply and climate tech solutions for the carbon market.,https://vlinderclimate.com/
Wasset,Wasset incentivizes efficient waste management actions.,https://wasset.io/
WaterLAB,WaterLAB is a decentralized national water laboratory for the research and development of advanced desalination and regenerative water.,https://www.rh2o.app/
WEB3BEACH,WEB3BEACH accelerates Web3 education and adoption in Honduras.,https://www.web3beach.io/
Web3forGood,A media community comprising social impact professionals and tech enthusiasts exploring how Web3 could contribute to making the world a better place.,https://web3forgood.substack.com/
WeRa Global,WeRa Global aims to build the Solar Network State by Web3 fusion of RWA legal incorporation with ANI economic cooperation to solve major problems of ESG.,https://www.wera.global/
WheelCoin,WheelCoin is a free app that rewards you for traveling more sustainably.,https://wheelco.in/
WiHi,WiHi is a globalised weather intelligence platform.,https://www.wihi.cc/
Worldcoin,Worldcoin aims to establish universal access to the global economy regardless of country or background.,https://worldcoin.org/
Zero Labs,Zero Labs facilitates renewable energy adoption and carbon footprint reduction through Digital Renewable Energy services.,https://www.zerolabs.green/
WFP Building Blocks,a project from the UN's World Food Program to give cryptocurrency vouchers to Syrian refugees in Jordan,https://innovation.wfp.org/project/building-blocks
Etherisc,a decentralized insurance platform,https://etherisc.com/
Grassroots Economics,a system that lets communities digitally create their own currencies and allow them to trade on regional economic markets that are build from the ground up,https://www.grassrootseconomics.org/about
Gravity,"a digital identity solutions which empower individuals, international organisations and governments to build trusted digital identities that are private, portable and persistent.",https://www.gravity.earth/
UnBlocked Cash by Oxfam,"a blockchain-based Cash & Voucher Assistance (CVA) solution that enables much faster, less expensive, and more transparent financial aid for relief efforts is being scaled across the world, starting in the Pacific nation of Vanuatu",https://www.oxfam.org/en/unblocked-cash-project-using-blockchain-technology-revolutionize-humanitarian-aid
Gooddollar,"a 100% not-for-profit project, is nurturing an ecosystem – including academics, NGOs, ethical investors, crypto supporters, and anyone who cares about reducing inequality",https://www.gooddollar.org
ixo foundation,an open-source software development Foundation building the Blockchain for Impact. The ixo network provides the data infrastructure for the Impact economy,https://www.ixo.world/
Circles,"an electronic cryptocurrency with the aim to create and distribute a globally accessible Universal Basic Income.
",https://joincircles.net/
MakerDAO,"a decentralized autonomous organization on the Ethereum blockchain seeking to minimize the price volatility of its own stable token -- Dai -- a cryptocurrency that is price stabilized against the value of the U.S. Dollar. Dai is created by the Dai Stablecoin System, a decentralized platform that runs on the Ethereum blockchain.

The Dai Stablecoin System was developed by Maker. Our team consists of developers, economists and designers from all over the world. Our decentralized autonomous organization is governed by our token holders",https://makerdao.com/
The Commons Stack,"a software initiative enabling purpose-driven communities to build sustainable digital economies, called Commons, that can interface with the real-world using a library of open-source Web 3 components.",https://commonsstack.org/
Impak Finance,a stable cryptocurrency designed to support the growth of the impact economy,https://www.impakanalytics.com/en/
